topic_id,word,weight,rank
9,auf,0.005849,19
9,nicht,0.005835,20
10,dont,0.011098,1
10,get,0.010387,2
10,like,0.009821,3
10,people,0.009708,4
10,one,0.009035,5
10,love,0.008932,6
10,make,0.007549,7
10,life,0.005943,8
10,day,0.005829,9
10,time,0.005373,10
10,know,0.005291,11
10,need,0.005076,12
10,thing,0.005010,13
10,youre,0.005004,14
10,want,0.004910,15
10,think,0.004698,16
10,good,0.004596,17
10,never,0.004253,18
10,got,0.004186,19
10,let,0.004111,20
11,betteralternativetodebates,0.045768,1
11,todolistbeforechristmas,0.041507,2
11,myolympicsportwouldbe,0.015657,3
11,ihaveadreamthat,0.011975,4
11,dogsongs,0.010391,5
11,beat_hook,0.008105,6
11,imnotwithher,0.008001,7
11,christmasapopsong,0.007849,8
11,famouscreatures,0.007098,9
11,half_hour,0.005379,10
11,mentalillnessicebreakers,0.005283,11
11,songshannibalwouldsing,0.004848,12
11,santa,0.004796,13
11,pmpm,0.004253,14
11,heretostay,0.004220,15
11,cdu,0.004154,16
11,dog,0.004146,17
11,ihaveadreamthat_one,0.004141,18
11,aa,0.004019,19
11,dncinphl,0.004010,20
