user_id,model,lda_gini,bert_gini,post_count,lda_duplicate_ratio,bert_duplicate_ratio
6druz,LDA only,0.564980684694614,0.731971886105771,4.0,0.0,0.0
blk_voice,LDA only,0.7013224783586338,0.7668165739819429,41.0,0.0,0.0
brightandglory,BERTopic only,0.5628637098707259,0.8822382214468547,30.0,0.0,0.0
claudia42kern,BERTopic only,0.562803431879729,0.8724786783256584,23.0,0.0,0.0
dickyirwin,BERTopic only,0.5648439325547466,0.8843478971242148,22.0,0.0,0.0
jrrbrtt,LDA only,0.8100827195933865,0.7713496276117583,1.0,0.0,0.0
kadirovrussia,BERTopic only,0.548103856461725,0.8990379625564636,6.0,0.0,0.0
verrellportier,LDA only,0.7089273449964821,0.7749871052619587,3.0,0.0,0.0
