topic_id,word,weight,rank
9,sextingwentwrongwhen,0.006144,14
9,gun,0.005974,15
9,thetroublewithaddiction,0.005649,16
9,dealbreakerinwords,0.005366,17
9,dont,0.005075,18
9,andthenishouldhavesaid,0.004881,19
9,mentalillnessicebreakers,0.004273,20
10,tcot,0.026266,1
10,wakeupamerica,0.013982,2
10,pjnet,0.012815,3
10,ccot,0.012503,4
10,tcot_ccot,0.009651,5
10,valentinesdayinwords,0.009126,6
10,bbsp,0.007250,7
10,muslim,0.006932,8
10,cruz,0.005580,9
10,gop,0.005553,10
10,obama,0.005504,11
10,conservative,0.004507,12
10,tcot_pjnet,0.004478,13
10,honorforthebrave,0.004229,14
10,christian,0.004034,15
10,american_thinker,0.003820,16
10,america,0.003770,17
10,gopdebate,0.003720,18
10,uniteblue_tcot,0.003687,19
10,via,0.003637,20
11,get,0.006948,1
11,new,0.006659,2
11,via,0.004995,3
11,black,0.004455,4
11,day,0.004067,5
11,news,0.004013,6
11,one,0.003929,7
11,people,0.003654,8
11,video,0.003156,9
11,need,0.003090,10
11,man,0.002857,11
11,make,0.002811,12
11,music,0.002803,13
11,white,0.002704,14
11,like,0.002666,15
11,say,0.002637,16
11,playing,0.002616,17
11,time,0.002615,18
11,year,0.002571,19
11,today,0.002458,20
