user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11
phoenixdailynew,20,0.851265,1.101045,0.793718,0.928875,7,0.010324,0.002651,0.004165,0.008665,0.000671,0.135157,0.001176,0.793718,0.010972,0.000714,0.001249,0.030539
march_for_trump,19,0.848286,1.089986,0.813717,0.886842,5,0.001205,0.001151,0.003970,0.013081,0.001088,0.813717,0.023419,0.073125,0.001384,0.001157,0.002026,0.064677
christinacrisss,1,0.847646,1.112365,0.667072,0.975715,5,0.000927,0.000885,0.001585,0.003957,0.000837,0.667072,0.001073,0.006335,0.308642,0.000890,0.001558,0.006239
williams8kalvin,2,0.847580,1.059539,0.810718,0.935921,5,0.003125,0.002984,0.005342,0.013334,0.002820,0.810718,0.003616,0.125203,0.003586,0.002999,0.005250,0.021023
southlonestar,33,0.846839,1.092247,0.815120,0.895594,5,0.001335,0.002467,0.004224,0.031425,0.001205,0.815120,0.003933,0.051046,0.001824,0.002332,0.004614,0.080474
usa_gunslinger,21,0.845356,1.053693,0.833321,0.903993,5,0.001024,0.000978,0.020764,0.022940,0.000924,0.833321,0.005704,0.070672,0.001479,0.001114,0.027577,0.013504
richmondvoice,12,0.843806,1.173012,0.778588,0.888185,7,0.000585,0.000559,0.003675,0.007785,0.000528,0.109597,0.006979,0.778588,0.007200,0.003756,0.002351,0.078399
itstimetosecede,11,0.843691,1.103556,0.814722,0.882346,5,0.001413,0.001350,0.043737,0.014575,0.001276,0.814722,0.001636,0.048314,0.001622,0.001357,0.002375,0.067624
israel_wills,1,0.843631,1.137611,0.644295,0.975505,5,0.000927,0.000886,0.001585,0.003958,0.000837,0.644295,0.001073,0.006354,0.001064,0.331210,0.001558,0.006252
staywoke88,9,0.842241,1.240864,0.731961,0.871547,5,0.000558,0.000533,0.000954,0.023662,0.000504,0.731961,0.000646,0.139586,0.000641,0.000536,0.000938,0.099482
specialaffair,21,0.841759,1.253704,0.738276,0.881821,7,0.002128,0.000938,0.001057,0.006014,0.001020,0.086516,0.000370,0.738276,0.001441,0.000766,0.017929,0.143544
zistti,1,0.841084,1.046618,0.838518,0.912938,0,0.838518,0.003145,0.005629,0.014049,0.002972,0.074420,0.003811,0.022904,0.003779,0.003161,0.005533,0.022080
lila_gorila,1,0.841083,1.046667,0.838496,0.912954,0,0.838497,0.003145,0.005629,0.014049,0.002972,0.074457,0.003811,0.022888,0.003779,0.003161,0.005533,0.022080
horrorki,1,0.841082,1.046694,0.838487,0.912958,0,0.838487,0.003145,0.005629,0.014049,0.002972,0.074472,0.003811,0.022884,0.003779,0.003161,0.005533,0.022080
oooonlyone,1,0.841075,1.046678,0.838536,0.912867,0,0.838536,0.003145,0.005629,0.014049,0.002972,0.074331,0.003811,0.022975,0.003779,0.003161,0.005533,0.022080
ostrovofficer,1,0.841071,1.046717,0.838534,0.912847,0,0.838534,0.003145,0.005629,0.014049,0.002972,0.074313,0.003811,0.022995,0.003779,0.003161,0.005533,0.022080
todaymiami,13,0.840721,1.266089,0.698428,0.886095,7,0.002923,0.000488,0.003161,0.003709,0.000461,0.187667,0.000591,0.698428,0.000587,0.000491,0.000859,0.100636
alexharritonov,7,0.840559,1.265854,0.718487,0.920487,7,0.001251,0.001195,0.016517,0.005340,0.001129,0.201999,0.001448,0.718487,0.005896,0.001201,0.002103,0.043432
georevieweurope,1,0.840413,0.920788,0.874014,0.905656,5,0.004599,0.004392,0.007861,0.019625,0.004150,0.874014,0.005322,0.031643,0.005278,0.004414,0.007727,0.030974
shocko_10,4,0.836737,1.240881,0.720870,0.937541,5,0.002038,0.001946,0.003484,0.216671,0.001839,0.720870,0.002358,0.014077,0.002339,0.017180,0.003424,0.013773
willisbonnerr,26,0.835452,1.332460,0.716609,0.877116,11,0.001177,0.000506,0.011174,0.072481,0.000328,0.160507,0.000126,0.034277,0.000801,0.001237,0.000778,0.716609
angela_lattke,1,0.835440,1.221143,0.781217,0.893110,4,0.002565,0.002450,0.004385,0.010945,0.781217,0.056670,0.002969,0.111893,0.002944,0.002462,0.004310,0.017189
schultei2,1,0.835419,1.221247,0.781227,0.892976,4,0.002565,0.002450,0.004385,0.010945,0.781227,0.056804,0.002969,0.111749,0.002944,0.002462,0.004310,0.017189
kenzdonovan,15,0.834395,1.262613,0.771744,0.882902,5,0.000712,0.000680,0.003654,0.004978,0.000643,0.771744,0.018662,0.111158,0.001107,0.009545,0.055828,0.021290
gorelkinnn,1,0.833663,1.109629,0.827734,0.901545,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073811,0.004441,0.026226,0.004404,0.003683,0.827734,0.025804
moda_barina,1,0.833662,1.109650,0.827728,0.901544,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073817,0.004441,0.026226,0.004404,0.003683,0.827728,0.025805
mwiqcen,1,0.833661,1.109670,0.827722,0.901544,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073822,0.004441,0.026226,0.004404,0.003683,0.827722,0.025805
shikarnoel,1,0.833660,1.109689,0.827716,0.901545,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073828,0.004441,0.026225,0.004404,0.003683,0.827716,0.025805
jorda_morgan,1,0.833660,1.109690,0.827716,0.901545,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073829,0.004441,0.026226,0.004404,0.003683,0.827716,0.025805
lmarinays,1,0.833659,1.109714,0.827709,0.901544,10,0.003837,0.003665,0.006560,0.016372,0.003463,0.073835,0.004441,0.026226,0.004404,0.003683,0.827709,0.025805
t0nyasinclair,1,0.832708,1.286627,0.626813,0.947843,11,0.001449,0.001384,0.002477,0.321030,0.001308,0.028505,0.001677,0.009871,0.001663,0.001391,0.002434,0.626813
thefoundingson,46,0.831674,1.229117,0.790341,0.870404,5,0.001879,0.004994,0.006330,0.068519,0.000639,0.790341,0.013219,0.019819,0.001633,0.001602,0.010962,0.080063
mbrownhere,1,0.831304,1.267526,0.768858,0.892807,3,0.002568,0.123949,0.004390,0.768858,0.002318,0.050309,0.002972,0.017509,0.002948,0.002465,0.004315,0.017400
klausfinker,1,0.831277,1.112293,0.830016,0.898984,4,0.003829,0.003657,0.006546,0.016337,0.830016,0.068968,0.004431,0.026059,0.004395,0.003675,0.006434,0.025654
valeyina_dm,6,0.831019,1.344489,0.691765,0.915305,7,0.001746,0.023434,0.002984,0.007450,0.001576,0.223540,0.002020,0.691765,0.002004,0.001676,0.002934,0.038871
philadelphiaon,17,0.830695,1.303983,0.751442,0.875640,7,0.001379,0.001317,0.010623,0.010513,0.001245,0.124198,0.001596,0.751442,0.012533,0.006259,0.002317,0.076577
4ever1937,2,0.830433,1.221312,0.589825,0.969484,5,0.001487,0.001420,0.002542,0.006348,0.001342,0.589825,0.001721,0.379659,0.001707,0.001428,0.002499,0.010021
edmundc0oke,1,0.829846,1.145099,0.820614,0.898774,1,0.003840,0.820614,0.006565,0.016386,0.003466,0.078161,0.004444,0.026165,0.004408,0.003686,0.006453,0.025814
instotus,2,0.828686,1.307159,0.699831,0.931832,5,0.002601,0.002484,0.004447,0.011103,0.002348,0.699831,0.232000,0.017832,0.002986,0.002497,0.004371,0.017501
jacksoncitypost,12,0.827591,1.321276,0.756208,0.859079,7,0.001283,0.020554,0.002194,0.022782,0.002638,0.079360,0.001485,0.756207,0.001473,0.001232,0.007921,0.102871
glebnikon,5,0.827254,1.315731,0.638517,0.946034,7,0.001555,0.001485,0.002658,0.006634,0.001403,0.307517,0.014931,0.638518,0.001784,0.010432,0.002612,0.010472
tpartynews,70,0.826821,1.304073,0.758399,0.897438,5,0.017827,0.001388,0.002132,0.013838,0.000578,0.758399,0.139039,0.026071,0.000397,0.003944,0.010311,0.026076
finley1589,15,0.826575,1.356158,0.733756,0.841188,5,0.000409,0.000447,0.002399,0.006389,0.000263,0.733756,0.024950,0.098143,0.000334,0.000280,0.107431,0.025198
atlanta_online,11,0.826001,1.376922,0.668559,0.824751,7,0.000296,0.000283,0.002296,0.019718,0.000267,0.156192,0.000343,0.668559,0.000340,0.000284,0.000497,0.150925
arturburanof,4,0.825570,1.291134,0.607438,0.956138,5,0.002136,0.002040,0.003651,0.009115,0.001928,0.607438,0.002472,0.348700,0.002451,0.002050,0.003589,0.014432
muslims_in_usa,6,0.823334,1.316476,0.768290,0.867659,5,0.002834,0.002706,0.033458,0.099369,0.002558,0.768290,0.003280,0.057719,0.003253,0.002720,0.004762,0.019051
realrobert1987,7,0.821964,1.333311,0.763125,0.844466,5,0.011074,0.000946,0.070505,0.008484,0.000894,0.763125,0.001146,0.081341,0.001137,0.000951,0.046971,0.013426
gwen_garland,1,0.821739,1.091625,0.843472,0.882523,5,0.005730,0.005473,0.009796,0.024457,0.005172,0.843472,0.006632,0.039051,0.006577,0.005500,0.009629,0.038511
tebepizdec,1,0.821509,1.095400,0.842641,0.882151,5,0.005734,0.005476,0.009802,0.024474,0.005175,0.842641,0.006636,0.039510,0.006581,0.005503,0.009635,0.038834
wildharee,1,0.820897,1.362769,0.747522,0.874199,3,0.002884,0.002755,0.004931,0.747522,0.126677,0.061902,0.003338,0.019657,0.003311,0.002769,0.004847,0.019407
jeblary2016,23,0.820548,1.348947,0.761955,0.855666,5,0.001860,0.007989,0.029773,0.069654,0.001679,0.761955,0.003029,0.019251,0.002135,0.005838,0.003125,0.093711
