topic_id,word,weight,rank
0,ukraine,0.05939073445184911,1
0,nato,0.037585057751025365,2
0,war,0.03711108142927716,3
0,china,0.03336109846322501,4
0,rússia,0.029985408175593014,5
0,que,0.028431467420347356,6
0,putin,0.023015585863443197,7
0,russian,0.022494065376547932,8
0,russias,0.02152992209774075,9
0,dont,0.019859647014681833,10
1,dissolve,0.5173366457926274,1
1,berlin,0.4876238432422192,2
1,strike,0.4784546840356483,3
1,drone,0.46655148131631063,4
1,belarus,0.4078297553760842,5
1,wants,0.34972138562256655,6
1,youtube,0.34890754771204013,7
1,west,0.3146626884047023,8
1,putin,0.23080558021776607,9
1,flowers,0.15154723640016385,10
2,alert,0.7795707089838843,1
2,alarming,0.7675004695905472,2
2,issues,0.6617373215732993,3
2,red,0.6035869517354597,4
2,threat,0.5655009690702028,5
2,united,0.5532426127669097,6
2,attack,0.5303128863728143,7
2,youtube,0.5278009044655226,8
2,states,0.5087652444346312,9
2,russianus,0.06633986596066459,10
3,lvivtyler,1.3063660403012278,1
3,supporters,0.2508650258830636,2
3,stands,0.16211759378135568,3
3,crimea,0.11041258849460756,4
3,seeds,0.10751633448797364,5
3,billboards,0.10751633448797364,6
3,hanging,0.10751633448797364,7
3,sunflowers,0.10751633448797364,8
3,eeuu,0.10751633448797364,9
3,projected,0.10285631383851603,10
