Topic,Count,Name,Representation,Representative_Docs
-1,4086,-1_ukraine_war_china_like,"['ukraine', 'war', 'china', 'like', 'putin', 'people', 'amp', 'russian', 'dont', 'russias']","['halcheckbookrbw problem war ukraine putin zelensky autocrats would rather russia lose going hard defend ukraine closely aligned russia china one willing die nuclear war ukraine', 'china want peace ukraine russia usa', 'رايس نفط وغاز روسيا يجب يخرجا أوروبا وأميركا ستعوض هكذا التخطيط للحرب أوكرانيا فهم حصول ألمانيا على طاقة رخيصة وكان التعاون روسيا بمثابة شوكة جانبهم تمد تدمير nordstream3 بالعبوات بمساعدة النروج لهذا السبب كما توعد بايدن ukraine russia']"
0,3632,0_ukraine_nato_war_china,"['ukraine', 'nato', 'war', 'china', 'rússia', 'que', 'putin', 'russian', 'russias', 'dont']","['nato support ukraine weapons cant chinese help russia fuck think', 'vampirology markgraham taylorlorenz internetarchive gdeltproject western europe open rebellion thought leaders started war china russia money already whatever biden promised ukraine business promising money gone cant deliver vampirology markgraham taylorlorenz internetarchive gdeltproject friend lie say lie every country world read new york times washington even china russia every build back better policy audited covid lockdowns crippled money make happen vampirology markgraham taylorlorenz internetarchive gdeltproject dont know tell ukraine loyal believe american already sorry want support ukraine defeat russia take back crimea negotiate joe biden would vampirology markgraham taylorlorenz internetarchive gdeltproject time tell friend time tell one trusts papers anymore thats twitter allowed free speech low confidence rating lab leak covered china chinese government making alliance russia vampirology markgraham taylorlorenz internetarchive gdeltproject dunno dont spirit fly ukraine take arms russia rather give humanitarian aid countries civilians flee ill live', 'misaelbjorn alonco_rodrigo sim quando fala que soberania rússia foi ameaçada']"
1,20,1_dissolve_berlin_strike_drone,"['dissolve', 'berlin', 'strike', 'drone', 'belarus', 'wants', 'youtube', 'west', 'putin', 'flowers']","['putin west wants dissolve russia belarus drone strike berlin via youtube', 'putin west wants dissolve russia belarus drone strike berlin via youtube', 'putin west wants dissolve russia belarus drone strike berlin via youtube']"
2,16,2_alert_alarming_issues_red,"['alert', 'alarming', 'issues', 'red', 'threat', 'united', 'attack', 'youtube', 'states', 'russianus']","['red alert russia issues alarming threat attack united states via youtube ekk', 'red alert russia issues alarming threat attack united states via youtube', 'red alert russia issues alarming threat attack united states via youtube']"
3,16,3_lvivtyler_supporters_stands_crimea,"['lvivtyler', 'supporters', 'stands', 'crimea', 'seeds', 'billboards', 'hanging', 'sunflowers', 'eeuu', 'projected']","['lvivtyler crimea russia', 'lvivtyler ukraine russia', 'lvivtyler ukraine russia']"
